"","session.code","subsession.round_number","participant.id_in_session","player.id_in_group","player.t","player.vote","player.bid","player.lama","player.payoff","group.price","group.policy","group.uniforme","group.costo","player.why_accept","player.why_reject","player.other_accept","player.other_reject","player.age","player.gender","player.major","player.political","player.gpa","player.finalassets","player.lama_star","player.vote_cond","marca","total_yes","player.better.yes","player.change_vote","player.better.yes.lag","player.t.lag","player.vote.lag","group.policy.lag","total_yes.lag","player.bid.delta"
"1310","7o4740qq",25,6,6,-1,NA,100,0.27,100,100,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,7,1,0,NA,1,1,1,1,7,0
"1311","7o4740qq",26,6,6,0,0,100,0.27,100,100,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.6,0,7,0,0,NA,0,-1,NA,0,1,0
"1312","7o4740qq",27,6,6,1,0,100,0.27,111,89,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,7,2,0,0,0,0,0,0,0,0
"1313","7o4740qq",28,6,6,1,0,100,0.27,100,100,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,7,1,0,0,0,1,0,0,2,0
"1314","7o4740qq",29,6,6,-1,NA,100,0.27,104,104,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,8,1,0,NA,0,1,0,0,1,0
"1315","7o4740qq",30,6,6,-1,NA,100,0.27,100,100,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,8,1,0,NA,0,-1,NA,0,1,0
"1316","7o4740qq",31,6,6,0,0,100,0.27,100,100,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.6,0,8,2,0,NA,0,-1,NA,0,1,0
"1317","7o4740qq",32,6,6,-1,NA,100,0.27,104,104,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,8,3,0,NA,0,0,0,0,2,0
"1318","7o4740qq",33,6,6,-1,NA,100,0.27,105,105,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,9,5,0,NA,0,-1,NA,0,3,0
"1319","7o4740qq",34,6,6,-1,NA,100,0.27,127,100,1,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,9,7,0,NA,0,-1,NA,0,5,0
